id,songname,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harmonic_mean,harmonic_std,harmonic_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var
1,Adiga Adiga_sad,129.19921875,165017,1289.1953125,0.26476577,0.2995128,0.08970791,0.23699634,0.28781787,0.08283912,0.18038203,0.22537893,0.05079566,14.185764,76.533,5857.2993,4.505171,56.792515,3225.39,0.012293931,2.5274236,6.38787,0.2368527,0.0621131,0.003858037,1153.3548500438017,671.7115779030352,451196.44388898526,1916.5168204975898,586.8837932325526,344432.5867590296,27.259884707879383,11.649304979264995,135.70630649992822,2127.1788039074595,1663.4214760898394,2766971.0071169003,1.9361484927977255,2.133537927589511,4.551984088462945,0.007568343346253522,0.26157613682055564,0.06842207535396604,0.03631138284878096,0.03241659948022362,0.0010508359218612342,-2.0675586e-06,0.2303219,0.053048175,-0.00021110165,0.038926978,0.0015153097,4.324716553287982,1.9566428808988772,3.8284513633722574
2,Kanureppala Kaalam_sad,172.265625,228468,1298.1136363636363,0.26607406,0.30907744,0.095528856,0.31382868,0.29130796,0.084860325,0.20711209,0.20109181,0.04043792,6.7866044,61.40756,3770.8884,-2.0232239,62.02784,3847.453,0.008905559,3.3184974,11.012425,0.15197182,0.07740681,0.0059918137,1269.6627675479651,747.3302852180209,558502.5552040484,1795.9378609432638,704.421588870318,496209.77486658335,25.11914504031827,11.8574199765808,140.59840850101745,2567.496974697054,1895.5607485339951,3593150.5513827596,1.3238111226513511,1.677763248560832,2.8148895182213964,0.054672968988693796,0.18333998436496687,0.0336135498669463,0.044961746263061146,0.0303332337546645,0.0009201050700151178,-2.8417895e-05,0.13885947,0.01928195,-2.5915966e-05,0.066035815,0.004360729,6.441215419501134,4.558641888206646,20.78121586491225
3,Nammaka Thappani_sad,89.10290948275862,114197,1283.112359550562,0.39461178,0.30701455,0.09425793,0.34875426,0.3009208,0.09055334,0.21400201,0.1937433,0.03753647,4.5868654,35.653225,1271.1525,2.3922477,57.487415,3304.803,0.010161533,3.429372,11.760592,0.12849611,0.058843844,0.003462598,2041.0123607073672,1022.8483605260438,1046218.7686308158,2519.087662813058,637.3994406163552,406278.04689804243,24.814544456018023,12.810642995364823,164.11257395468982,4857.753959159733,2363.2959536593867,5585167.7645828305,1.1456839648271082,1.562010535932383,2.4398769143637704,0.034301710588197955,0.19825320953230877,0.039304335089861524,0.06557915749564629,0.06477757786284878,0.004196134593777436,-1.204672e-05,0.114648946,0.01314438,-0.00035191377,0.059259396,0.0035116759,3.5840000000000005,1.9740276845724731,3.8967852994585592
4,Priyathama Priyathama_sad,129.19921875,162618,1280.4566929133857,0.2558888,0.30776364,0.09471846,0.47334403,0.29462928,0.08680641,0.23809831,0.16322541,0.026642533,8.776624,72.70423,5285.9053,-5.0729756,54.07288,2923.8762,0.01125889,3.446138,11.875866,0.167692,0.097468115,0.009500034,1818.8442782078814,721.3715351865849,520376.8917774503,2443.0552455705983,488.1404875881556,238281.13562280234,26.23722773064068,12.366236855972604,152.9238139780152,3989.53420916578,2224.1379301671905,4946789.532408395,1.460882828605487,1.9707955974140234,3.8840352867864976,0.05222112437673372,0.11926960791088445,0.014225239371216112,0.06707366848877709,0.042732750440143616,0.0018260879601795941,-2.3226846e-06,0.13565354,0.018401882,-0.00010197295,0.111730814,0.012483776,2.681904761904762,1.2417249328745108,1.5418808089222085
5,Yevevo_sad,112.34714673913044,125185,1192.2380952380952,0.24842039,0.31021008,0.0962303,0.33453664,0.2826093,0.07986802,0.21865681,0.18847424,0.03552254,3.8614933,36.12615,1305.0986,-6.746842,61.45496,3776.7122,0.008413142,2.3043714,5.3101277,0.10580355,0.073430836,0.005392088,1816.5294463984133,773.927633195508,598963.9814236007,2291.268571515888,468.8221223269905,219794.18238318362,26.161627233221306,12.261182647997108,150.3365999275454,4015.734050738922,1884.3934597098703,3550938.710997334,0.9040085477022042,1.27798985784029,1.6332580767426448,0.05034382766730648,0.17550422242843847,0.030801732090210806,0.07157118475474071,0.05512857236545093,0.0030391594910527597,3.078092e-07,0.10538367,0.011105719,5.1495794e-05,0.05656127,0.0031991773,4.849487528344671,2.423102955749762,5.8714279341632345
